1,GUESS JEANS - ДЖИНСОВОЕ ПЛАТЬЕ,products_images/1.jpg,<ul><li>Расклешенный фасон</li><li>Длинный рукав</li><li>Модель с воротником</li><li>Застегивается на пуговицы</li><li>Завязка на талии</li><li>Деним с декоративными потертостями</li><li>Длина рукава: 56 см</li><li>Длина: 88 см</li><li>Ширина подмышками: 42 см</li><li>Параметры указаны для размера: S</li></ul><ul><li>Узор: однотонные</liДлина: мини><li>Материал: ткань</li><li>Рукав: длинный</li><li>Материал: джинс</li><li>Декольте: застёгивающееся</li><li>Материал: с эластаном</li><li>Повод: casual</li><li>Фасон: клёш</li></ul><p>Состав:</p><p>98% Хлопок. 2% Эластан</p>,Платье из коллекции Guess Jeans. Расклешенная модель выполнена из денима,2939,22,1
2,ANSWEAR LAB ЛИМИТИРОВАННАЯ,products_images/2.jpg,<ul><li>Прямой фасон</li><li>Декольте типа halter</li><li>Сзади имеется молния</li><li>Застегивается на молнию</li><li>Длина: 115 см</li><li>Ширина подмышками: 38 см</li><li>Параметры указаны для размера: S</li></ul><ul><li>Узор: однотонные</li><li>Длина: миди</li><li>Рукав: без рукавов</li><li>Декольте: круглое</li><li>Материал: вискоза</li><li>Повод: casual</li><li>Фасон: прямой</li></ul><p>Состав:</p><p>100% Вискоза</p>,Платье из коллекции Answear Lab. Прямая модель выполнена из гладкой ткани,2199,13,1
3,Платье из коллекции Only,products_images/3.jpg,<ul><li>Прямой фасон</li><li>Длинный рукав</li><li>Круглый вырез</li><li>Сзади имеется молния</li><li>Завязка на талии</li><li>Узорчатая ткань</li><li>Длина рукава: 56 см</li><li>Длина: 119 см</li><li>Ширина подмышками: 45 см</li><li>Параметры указаны для размера: S</li></ul><ul><li>Узор: узорные</li><li>Материал: ткань</li><li>Длина: миди</li><li>Рукав: длинный</li><li>Декольте: круглое</li><li>Материал: с эластаном</li><li>Повод: casual</li><li>Фасон: прямой</li></ul><p>Состав:</p><p>Подкладка: 100% Полиэстер</p><p>Основной материал: 1% Эластан. 99% Полиэстер</p>,Платье из коллекции Only. Прямая модель выполнена из узорной ткани,1099,18,1"
4,NIKE SPORTSWEAR,products_images/4.jpg,<ul><li>Прямой фасон</li><li>Короткий рукав</li><li>Круглый вырез</li><li>Эластичный трикотаж</li><li>Модель с принтом</li><li>Длина: 90 см</li><li>Ширина подмышками: 47 см</li><li>Параметры указаны для размера: S</li></ul><ul><li>Узор: принт</li><li>Длина: мини</li><li>Декольте: круглое</li><li>Рукав: короткий</li><li>Материал: хлопок</li><li>Повод: casual</li><li>Фасон: прямой</li></ul><p>Состав:</p><p>100% Хлопок</p>,Легкое платье из коллекции Nike Sportswear. Прямая модель выполнена из тонкого эластичного трикотажа,899,16,1
5,VERO MODA,products_images/5.jpg,<ul><li>Прямой фасон</li><li>Длинный рукав</li><li>Круглый вырез</li><li>Ширина подмышками: 51 см</li><li>Длина рукава: 66 см</li><li>Длина: 62 см</li><li>Параметры указаны для размера: S</li></ul><ul><li>Узор: узорные</li><li>Декольте: круглое</li><li>Материал: шерсть в составе</li><li>Трикотаж: тонкий</li></ul><p>Состав:</p><p>22% Акрил. 4% Эластан. 9% Нейлон. 50% Вторичный полиэстер. 12% Полиэстер. 3% Шерсть</p>,Свитер из коллекции Vero Moda. Модель с круглым вырезом. Выполнена из узорного трикотажа,899,17,2
6,MEDICINE RED,products_images/6.jpg,<ul><li>Прямой фасон</li><li>Длинный рукав</li><li>Декоративные пуговицы</li><li>Длина рукава: 63 см</li><li>Длина: 60 см</li><li>Ширина подмышками: 54 см</li><li>Параметры указаны для размера: S</li></ul><p>Состав:</p><p>20% Полиамид. 29% Полиэстер. 51% Вискоза</p>,Свитер из коллекции Medicine. Модель с полугольфом. Выполнена из гладкого трикотажа,1199,14,2
7,MEDICINE WHITE,products_images/7.jpg,<ul><li>Прямой фасон</li><li>Длинный рукав</li><li>Декоративные пуговицы</li><li>Длина рукава: 63 см</li><li>Длина: 60 см</li><li>Ширина подмышками: 54 см</li><li>Параметры указаны для размера: S</li></ul><p>Состав:</p><p>20% Полиамид. 29% Полиэстер. 51% Вискоза</p>,Свитер из коллекции Medicine. Модель с полугольфом. Выполнена из гладкого трикотажа,1199,31,2
8,MEDICINE GREEN,products_images/8.jpg,<ul><li>Прямой фасон</li><li>Длинный рукав</li><li>Декоративные пуговицы</li><li>Длина рукава: 63 см</li><li>Длина: 60 см</li><li>Ширина подмышками: 54 см</li><li>Параметры указаны для размера: S</li></ul><p>Состав:</p><p>20% Полиамид. 29% Полиэстер. 51% Вискоза</p>,Свитер из коллекции Medicine. Модель с полугольфом. Выполнена из гладкого трикотажа,1199,23,2
9,LEVI'S,products_images/9.jpg,<p>Модель выполнена из обесцвеченного денима</p><p>Согласно политике охраны товарных знаков примерно 10% ассортимента бренда Levi's имеют пустой ярлык (красного цвета без логотипа бренда. Исключительно с международным знаком торговой марки). Пустой ярлык — это зарегистрированный товарный знак бренда Levi's и модель является полноценным оригинальным продуктом.</p><ul><li>Застегивается на пуговицу и молнию</li><li>Облегающие штанины</li><li>Крой обтягивающий</li><li>Эластичный деним</li><li>Деним с декоративными пятнами</li><li>Прорезные карманы</li><li>Ширина по поясу: 32 см</li><li>Полуобхват бедер: 43 см</li><li>Высота талии: 25 см</li><li>Ширина штанины снизу: 13 см</li><li>Ширина штанины сверху: 23 см</li><li>Длина штанины: 103 см</li><li>Параметры указаны для размера: 27/32</li></ul><ul><li>Крой: скинни</li><li>Цвет: темносиний</li></ul><p>Состав:</p><p>60% Хлопок. 4% Эластан. 24% Полиэстер. 12% Вискоза</p>,Джинсы из коллекции Levi's типа skinny с завышенной талией.,2699,24,3
10,WRANGLER,products_images/10.jpg,<ul><li>Прямой фасон</li><li>Прорезные карманы</li><li>Застегивается на пуговицу и молнию</li><li>Талия regular</li><li>Ширина по поясу: 35 см</li><li>Полуобхват бедер: 42 см</li><li>Высота талии: 30 см</li><li>Ширина штанины снизу: 18.5 см</li><li>Ширина штанины сверху: 26 см</li><li>Длина штанины: 97.5 см</li><li>Параметры указаны для размера: 27/32</li></ul><p>Состав:</p><p>2% Эластан. 59% Лиоцелл. 39% Полиэстер</p>,Джинсы из коллекции Wrangler. Модель выполнена из из стираного денима,2199,34,3
